,,,,,,,,,SCA Types,,,,,,,GCA Types,,,,,,,
Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
11/27/2021,21:00 (01:30),Matchweek 15,Sat,Away,W,3,1,Villarreal,19,10,2,3,2,1,1,4,1,0,1,1,1,0,Match Report
12/4/2021,16:15 (20:45),Matchweek 16,Sat,Home,L,0,1,Betis,23,18,2,3,0,0,0,0,0,0,0,0,0,0,Match Report
12/12/2021,16:15 (20:45),Matchweek 17,Sun,Away,D,2,2,Osasuna,19,17,0,1,1,0,0,4,3,0,0,1,0,0,Match Report
12/18/2021,18:30 (23:00),Matchweek 18,Sat,Home,W,3,2,Elche,33,24,2,3,1,3,0,5,3,1,1,0,0,0,Match Report
12/21/2021,21:30 (02:00),Matchweek 4,Tue,Away,D,1,1,Sevilla,37,28,4,0,3,1,1,2,1,1,0,0,0,0,Match Report
1/2/2022,21:00 (01:30),Matchweek 19,Sun,Away,W,1,0,Mallorca,25,20,1,1,1,2,0,2,2,0,0,0,0,0,Match Report
1/8/2022,18:30 (23:00),Matchweek 20,Sat,Away,D,1,1,Granada,24,18,2,3,1,0,0,2,2,0,0,0,0,0,Match Report
1/23/2022,21:00 (01:30),Matchweek 22,Sun,Away,W,1,0,Alavï¿½,19,10,7,0,0,2,0,2,2,0,0,0,0,0,Match Report
2/6/2022,16:15 (20:45),Matchweek 23,Sun,Home,W,4,2,Atlï¿½ï¿½tico Ma,15,10,2,0,1,1,1,6,5,0,0,1,0,0,Match Report
2/13/2022,21:00 (01:30),Matchweek 24,Sun,Away,D,2,2,Espanyol,23,20,1,1,0,1,0,4,4,0,0,0,0,0,Match Report
2/20/2022,16:15 (20:45),Matchweek 25,Sun,Away,W,4,1,Valencia,13,10,1,0,1,1,0,7,6,0,0,1,0,0,Match Report
2/27/2022,21:00 (01:30),Matchweek 26,Sun,Home,W,4,0,Athletic Club,31,26,2,1,1,1,0,7,6,0,0,1,0,0,Match Report
3/6/2022,16:15 (20:45),Matchweek 27,Sun,Away,W,2,1,Elche,35,28,1,1,3,2,0,2,1,0,0,1,0,0,Match Report
3/13/2022,21:00 (01:30),Matchweek 28,Sun,Home,W,4,0,Osasuna,39,33,1,2,2,1,0,8,5,0,1,1,1,0,Match Report
3/20/2022,21:00 (01:30),Matchweek 29,Sun,Away,W,4,0,Real Madrid,33,26,3,2,1,1,0,8,6,2,0,0,0,0,Match Report
4/3/2022,21:00 (00:30),Matchweek 30,Sun,Home,W,1,0,Sevilla,35,27,3,2,3,0,0,2,2,0,0,0,0,0,Match Report
4/10/2022,21:00 (00:30),Matchweek 31,Sun,Away,W,3,2,Levante,28,26,0,1,0,1,0,6,5,0,1,0,0,0,Match Report
4/18/2022,21:00 (00:30),Matchweek 32,Mon,Home,L,0,1,Cï¿½ï¿,30,22,1,4,2,1,0,0,0,0,0,0,0,0,Match Report
4/21/2022,21:30 (01:00),Matchweek 33,Thu,Away,W,1,0,Real Sociedad,20,19,0,1,0,0,0,2,2,0,0,0,0,0,Match Report
4/24/2022,21:00 (00:30),Matchweek 21,Sun,Home,L,0,1,Rayo Vallecano,29,20,0,5,2,2,0,0,0,0,0,0,0,0,Match Report
5/1/2022,21:00 (00:30),Matchweek 34,Sun,Home,W,2,1,Mallorca,32,25,2,2,1,2,0,3,2,0,0,1,0,0,Match Report
5/7/2022,21:00 (00:30),Matchweek 35,Sat,Away,W,2,1,Betis,21,18,1,2,0,0,0,4,4,0,0,0,0,0,Match Report
5/10/2022,21:30 (01:00),Matchweek 36,Tue,Home,W,3,1,Celta Vigo,18,16,0,1,0,1,0,6,5,0,1,0,0,0,Match Report
5/15/2022,19:30 (23:00),Matchweek 37,Sun,Away,D,0,0,Getafe,10,9,0,0,0,1,0,0,0,0,0,0,0,0,Match Report
5/22/2022,22:00 (01:30),Matchweek 38,Sun,Home,L,0,2,Villarreal,25,20,1,1,1,1,1,0,0,0,0,0,0,0,Match Report
